indicator,description,threshold,type,total_tests,total_assets,best_sharpe_ratio,avg_sharpe_ratio,worst_sharpe_ratio,std_sharpe_ratio,best_sortino_ratio,avg_sortino_ratio,worst_sortino_ratio,std_sortino_ratio,best_total_return,avg_total_return,worst_total_return,std_total_return,best_max_drawdown,avg_max_drawdown,worst_max_drawdown,std_max_drawdown,best_win_rate,avg_win_rate,worst_win_rate,std_win_rate,best_omega_ratio,avg_omega_ratio,worst_omega_ratio,std_omega_ratio,best_calmar_ratio,avg_calmar_ratio,worst_calmar_ratio,std_calmar_ratio,best_parameter,best_asset,best_sharpe,best_return,best_plus_di,best_minus_di,best_fast_ema,best_slow_ema
EMA,Price > EMA = Long,,single_param,438,3,6.110627867572278,3.0474455784214256,-3.4988424361642427,2.6022067124190547,5.0,1.2349486814288873,-5.0,2.9764581843908244,0.1626106662849791,0.09336667801746337,-0.2155345245241499,0.08264770011498704,0.31359269781070614,0.11353605722438757,0.04618214554552761,0.058961091171806194,0.7,0.6441400304414004,0.3333333333333333,0.09955358621183369,3.239738034489341,2.1277767598933166,0.41335957832343134,0.8307838475561452,86.90349262010862,37.81232420797865,-16.081508521642228,33.95043909074886,20,doge,6.110627867572278,0.1626106662849791,,,,
RSI,RSI > 50 = Long,50.0,single_param,438,3,0.0,-0.25368888511343635,-8.279102866929353,1.1468465579224922,0.0,-0.0228310502283105,-5.0,0.33748189034460035,0.0,-0.004209608587076251,-0.17631126234419792,0.02110571524722074,0.17631126234419792,0.004197565032220816,0.0,0.021073458098448107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2154697246268091,-28.005912774369897,5.424079837379799,8,pepe,0.0,0.0,,,,
CCI,CCI > 0 = Long,0.0,single_param,438,3,0.0,-0.5053206311112434,-7.506570614307907,1.5609760833989248,0.0,-0.14794153375495697,-5.0,0.7464748061577261,0.0,-0.011902827947668367,-0.2939810667207302,0.04114778143676447,0.2939810667207302,0.01295375951823806,0.0,0.041870041030330825,0.3333333333333333,0.006582952815829527,0.0,0.03972532303479061,0.7857721130759113,0.019164294397433747,0.0,0.1145240510702732,0.0,-2.3751969638839294,-27.359052176561484,7.140304481041573,21,doge,0.0,0.0,,,,
ADX,ADX > 25 = Long,25.0,single_param,438,3,0.320423099702654,-0.5325229205974124,-6.110627867572278,1.3977447312859552,0.0,-0.7561994818912025,-5.0,1.7867895199146082,0.0,-0.02047895104605256,-0.17631126234419792,0.050323416328617615,0.18796365528014208,0.02780142406898464,0.0,0.06328362297596268,0.5,0.05343281148075669,0.0,0.12370254037672916,1.1000000363797895,0.08259516953301917,0.0,0.199889877258925,2.5200009167706963,-2.725766718588735,-25.200000000000003,6.681888829965577,32,shib,0.320423099702654,0.0,,,,
AROON,Aroon > 0 = Long,0.0,single_param,438,3,5.0199601592044525,-0.32005106158945035,-10.12110737263177,1.4541158099163778,5.0,-0.1131927865174702,-5.0,0.7828949740445712,0.10000003637978905,-0.008138311850935973,-0.2939810667207302,0.03694595411141546,0.2939810667207302,0.010107631902132378,0.0,0.03851010003395073,1.0,0.015372907153729071,0.0,0.09130575483576411,10.0,0.059106243371722884,0.0,0.5867288593047247,140.94902043147962,-1.1314476214186582,-27.87657151089316,8.964181742285456,8,shib,5.0199601592044525,0.10000003637978905,,,,
CMO,CMO > 0 = Long,0.0,single_param,438,3,0.0,-0.25368888511343635,-8.279102866929353,1.1468465579224922,0.0,-0.0228310502283105,-5.0,0.33748189034460035,0.0,-0.004209608587076251,-0.17631126234419792,0.02110571524722074,0.17631126234419792,0.004197565032220816,0.0,0.021073458098448107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2154697246268091,-28.005912774369897,5.424079837379799,8,pepe,0.0,0.0,,,,
MFI,MFI > 50 = Long,50.0,single_param,438,3,5.0199601592044525,-2.890738688930882,-9.344704642786203,2.8675489714094384,5.0,-2.4559208906334105,-5.0,2.633780347155377,0.10000003637978905,-0.0862523438258098,-0.2939810667207302,0.07503507751888766,0.2939810667207302,0.11374115822901047,0.0,0.07581607248715602,1.0,0.21636497064579258,0.0,0.2000819703516749,10.0,0.5044904357214117,0.0,1.310452623327405,275.64247155282726,-12.50095779958281,-28.00446845495459,17.646422261438005,5,shib,5.0199601592044525,0.10000003637978905,,,,
WILLR,WILLR > -50 = Long,-50.0,single_param,438,3,0.320423099702654,-1.930687297059997,-9.344704642786203,2.7210777137268667,0.0,-0.6115134583051555,-5.0,1.5398308260341274,0.0,-0.04425281213105423,-0.2939810667207302,0.07650858134092142,0.2939810667207302,0.04733111776545784,0.0,0.07682772126352849,0.5,0.01787345075016308,0.0,0.06808008750950914,1.1000000363797895,0.04801943643100996,0.0,0.17921025709342575,2.5200009167706963,-8.67893457240582,-28.005912774369897,11.797133777012602,16,shib,0.320423099702654,0.0,,,,
DI,+DI > -DI = Long,0.0,matrix,67500,3,0.0,-0.012369497759921976,-0.32254211542855016,0.05120404487595693,0.0,-0.01305161375047022,-1.2079995836214428,0.09067407159430772,0.0,-0.004997844933078305,-0.2939810667207302,0.021400179487099935,0.2939810667207302,0.0067000824151186075,0.0,0.025509359654845982,0.3,0.0030785185185185186,0.0,0.02075633403628859,1.1000000363797895,0.02187453899383859,0.0,0.14015355181796227,0.0,-0.055995179907071306,-1.0910706746784287,0.2248586004963082,"+DI:1, -DI:1",pepe,0.0,0.0,1.0,1.0,,
MACD,MACD > Signal = Long,0.0,matrix,37098,3,0.0,-0.04245192163047318,-0.38709335621680496,0.09425780884216478,0.0,-0.10134419755508958,-1.2079995836214428,0.2763548934589563,0.0,-0.03078553768704686,-0.2939810667207302,0.07327799806143563,0.2939810667207302,0.033391862551446945,0.0,0.0763076477480757,0.3,0.0075853145722141364,0.0,0.03427690365141798,0.7174219547816,0.028646527434320383,0.0,0.12041790502118842,0.0,-0.17024612208469117,-1.0,0.36285302377421325,"Fast:8, Slow:160",doge,0.0,0.0,,,8.0,160.0
APO,APO > 0 = Long,0.0,matrix,37539,3,6.947871971048921,-1.198637872919001,-10.934467642180586,2.3874913597416048,5.0,-1.0556789282861085,-5.0,2.0460131300870503,0.16666664140292586,-0.029971037210512315,-0.21221907616737057,0.05907934458031827,0.20778312820356049,0.04062414174777259,0.0,0.07226484793192554,1.0,0.08091162968290755,0.0,0.14741561767455624,18.809390340683276,0.17567588310679766,0.0,0.7833302015396456,448.79663658522713,-4.459217817916118,-27.93918450421158,9.308806966585214,,doge,6.947871971048921,0.068301312714381,,,,
MOM,MOM > 0 = Long,0.0,single_param,438,3,5.0199601592044525,-0.934991787321341,-10.12110737263177,2.272118576738229,5.0,-0.6004076559306675,-5.0,1.6141672518695722,0.045056082578515566,-0.017032657325724614,-0.19251058062109272,0.043638592918491044,0.20477685904791207,0.021111940992801094,0.0,0.05175480158368893,1.0,0.03565086613031818,0.0,0.10740673741029907,10.0,0.09660335633299175,0.0,0.6669967177632178,20.064085011686295,-3.596338907556337,-29.467916628744497,8.548832116367441,20,doge,5.0199601592044525,0.004548525585696295,,,,
PPO,PPO > 0 = Long,0.0,matrix,33945,3,0.2796999654483519,-0.04686016853901321,-0.4103023695470477,0.09232085295448057,3.0521459376828375,-0.06613195433980523,-1.2079995836214428,0.14094531904233887,0.16666664140292586,-0.02982377257603286,-0.21221907616737057,0.05897919311952108,0.20778312820356049,0.04085840926039439,0.0,0.07234568507058023,0.3,0.05887170422742672,0.0,0.1106979212221303,18.809390340683276,0.1618804671017479,0.0,0.661221310375723,18.067172836415054,-0.17680835009228596,-1.0578920989794018,0.3661179814596228,,doge,0.2796999654483519,0.068301312714381,,,,
TRIX,TRIX > 0 = Long,0.0,single_param,438,3,4.322228862624968,-1.5175592449058308,-8.467984194128714,2.6420224948222075,1.6600634816301634,-1.254407215991447,-5.0,2.162035044388219,0.04032414160301667,-0.03739974043702037,-0.15521898672886247,0.06584965175432553,0.18796365528014208,0.046109074123852976,0.0,0.07985472903158068,0.5,0.07734561861274192,0.0,0.13209803045795818,8.247679002415804,0.10540869621479322,0.0,0.4222719322539854,14.575985268906763,-5.259121708495427,-25.691248553103836,9.183073765457824,38,doge,4.322228862624968,0.04032414160301667,,,,
ADOSC,ADOSC > 0 = Long (Volume-based),0.0,matrix,35310,3,0.04845987980607515,-0.08402760934202591,-0.28529615133207115,0.10838268628612216,0.060137539644511344,-0.11318377565954657,-1.2079995836214428,0.15286077291896297,0.013576248589764806,-0.05914266513229398,-0.2939810667207302,0.07593623096309507,0.2939810667207302,0.07022130642137567,0.0,0.08897128093752382,0.3,0.10027187765505523,0.0,0.13615423559130604,1.474971907386879,0.13657984213250157,0.0,0.18585458917433426,0.5280303444214783,-0.3299179864021549,-1.2121823247015275,0.41562874571016134,,doge,0.04845987980607515,0.013576248589764806,,,,
