asset,aroon_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bonk,5,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,5,-0.06980733700274222,-8.345527066010705,-5.0,0.0,-23.23047625907763,0.0645694769270006,0.0,0.0,0.17973456786483857,4
shib,5,-0.09999994543031654,-4.58257569495584,0.0,0.0,-21.0,0.09999994543031654,0.0,0.0,0.45825731942587894,1
pepe,5,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,6,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,6,-0.026849044054821025,-1.7702524913193407,-2.444816402417994,0.6465587873822178,-8.210607698696998,0.0645694769270006,0.2,0.6465587873822178,0.2994796770276276,5
shib,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,6,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,7,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,7,-0.0758125549094888,-4.2713987622616765,-5.0,0.3793443676831711,-14.213782623253191,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.3714841969938259,6
shib,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,7,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,8,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,8,-0.0758125549094888,-4.2713987622616765,-5.0,0.3793443676831711,-14.213782623253191,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.3714841969938259,6
shib,8,0.10000003637978905,4.58257569495584,5.0,10.0,0.0,0.0,1.0,10.0,0.4582577362087211,1
pepe,8,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,9,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,9,-0.07060850986193545,-3.942920547668194,-5.0,0.3976331360151289,-13.16046134199539,0.11163510666353707,0.2,0.3976331360151289,0.37260946242598386,5
shib,9,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,9,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,10,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,10,-0.11163510666353693,-8.992112147823066,-5.0,0.0,-21.847917156223158,0.11163510666353693,0.0,0.0,0.271237115598203,4
shib,10,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,10,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,11,0.0,0.21385384385587997,0.0,1.0714285296660613,1.499999122987286,0.0666666302868778,0.5,1.0714285296660613,0.4676085552627528,2
doge,11,-0.088191493855173,-7.252504011846365,-5.0,0.0,-21.533382379509995,0.088191493855173,0.0,0.0,0.2618490326515762,3
shib,11,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,11,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,12,-0.07142859462996654,-1.8082799443358626,0.0,0.5357140212183601,-9.75000555441444,0.13333332120673713,0.5,0.5357140212183601,0.718915578545373,2
doge,12,-0.088191493855173,-7.252504011846365,-5.0,0.0,-21.533382379509995,0.088191493855173,0.0,0.0,0.2618490326515762,3
shib,12,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,12,-0.26530609062992294,-6.797058187186572,0.0,0.0,-22.615384389356354,0.26530609062992294,0.0,0.0,0.8827347148129435,2
bonk,13,-0.13333332120673713,-4.582575694955839,0.0,0.0,-21.0,0.13333332120673713,0.0,0.0,0.6110100370897338,1
doge,13,-0.03779990051382731,-3.0231058033818954,-1.5998412355370413,0.35517958641857605,-13.625538046593922,0.057014667288891374,0.3333333333333333,0.35517958641857605,0.2569726529219152,3
shib,13,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,13,-0.26530609062992294,-6.797058187186572,0.0,0.0,-22.615384389356354,0.26530609062992294,0.0,0.0,0.8827347148129435,2
bonk,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,14,-0.026555420563773136,-2.0636858379564638,0.0,0.4953860340418382,-10.596893285121398,0.050314404518168154,0.6666666666666666,0.4953860340418382,0.2583612125338944,3
shib,14,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,14,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,15,0.021142749628286994,4.565411257514696,0.0,6.593215096487341,117.45751702623303,0.003780409549009192,0.6666666666666666,6.593215096487341,0.0972612310091435,3
shib,15,-0.09090912097503123,-4.58257569495584,0.0,0.0,-21.0,0.09090912097503123,0.0,0.0,0.4165979282299783,1
pepe,15,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,16,-0.10293241145789178,-4.537502257082807,-1.9272822690007123,0.04235680659950612,-20.184125109234145,0.10699427086503555,0.3333333333333333,0.04235680659950612,0.47594152614252944,3
shib,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,16,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,17,-0.10699427086503543,-4.762431006874957,-2.012526463177928,0.0,-21.076874193155785,0.10699427086503543,0.0,0.0,0.47351967580325216,2
shib,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,17,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,18,-0.10360553266102823,-4.582575694955839,0.0,0.0,-21.0,0.10360553266102823,0.0,0.0,0.4747801958353815,1
shib,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
